Account	Name	StNum	StName	City	State	Zip	Phone	PermitTypes	Expiration	FacilityType	District	Risk	Employees	Score	InspectionDate	StartTime	EndTime	ActivityType	InspectorID	InspectorName	SiteCount
200002	ILLEGAL ESTABLISHMENT OPERATION/SURVEILLANCE/COMPL		" """""	" """""	" ""TX"""	" """""		F	1/1/1901	-184	999	1	0	5	3/27/2013	4:35 PM	6:15 PM	Routine Inspection (001)	RLR1	Remonda Robinson	32	
200003	ILLEGAL MFU		" """""	" ""HOUSTON"""	" ""TX"""	" """""		H	1/1/1901	"(070) Mobile - Conventional, Unrestricted, Motorized"	506	1	1	5	5/4/2013	5:00 PM	6:00 PM	Routine Inspection (001)	MFS1	Manuel Say	107	
200022	SHELL	707	" ""WAYSIDE"""	" ""HOUSTON"""	" ""TX"""	" ""77011"""		"F,D"	5/4/2014	(101) Convenience Grocery - Open foods	404	1	3	1	3/10/2013	6:00 PM	6:30 PM	Routine Inspection (001)	JTD1	Jay Dunn	2	
200031	POST OAK GRILL EXPRESS	1111	" ""LOUISIANA"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		H	2/11/2014	"(142) Mobile - Fixed Location, Restricted"	401	1	1	1	2/15/2012	11:00 AM	11:30 AM	Routine Inspection (001)	MFS1	Manuel Say	0	
200037	NEW YORK PIZZERIA	306	" ""GRAY"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		"F,G"	10/26/2013	(001) Restaurant - Full Service	402	3	6	1	3/13/2013	2:00 PM	2:50 PM	Routine Inspection (001)	DTN1	Denise Nguyen	2	
200057	POST OAK GRILL EXPRESS	1111	" ""LOUISIANA"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		H	2/11/2014	"(142) Mobile - Fixed Location, Restricted"	401	1	1	1	2/15/2012	11:30 AM	12:15 PM	Routine Inspection (001)	MFS1	Manuel Say	0	
200058	PIZZA HUT #312016	7815	" ""BELLFORT"""	" ""HOUSTON"""	" ""TX"""	" ""77061"""		"F,G"	1/13/2014	(001) Restaurant - Full Service	106	2	29	2	2/7/2013	10:00 AM	10:35 AM	Routine Inspection (001)	LWT1	LaTerica Thomas	2	
200077	THE VOLCANO	2349	" ""BISSONNET"""	" ""HOUSTON"""	" ""TX"""	" ""77005"""		"F,G"	9/15/2013	(062) Bar - Full Service	101	1	9	1	2/25/2013	1:25 PM	2:25 PM	Routine Inspection (001)	JTD1	Jay Dunn	1	
200078	HOBBIT CAFE'	2243	" ""RICHMOND"""	" ""HOUSTON"""	" ""TX"""	" ""77098"""		"F,G"	9/21/2013	(001) Restaurant - Full Service	403	3	36	1	4/19/2013	7:15 PM	8:15 PM	Routine Inspection (001)	RES1	Robert Stine	2	
200087	SUR LA TABLE	1996	" ""GRAY"""	" ""HOUSTON"""	" ""TX"""	" ""77019"""		"F,D,G"	10/13/2013	(100) Convenience Grocery - Packaged	402	1	8	1	1/30/2013	1:30 PM	2:00 PM	Routine Inspection (001)	DTN1	Denise Nguyen	2	
200088	S & M DISTRIBUTOR	8108	" ""ALMEDA GENOA"""	" ""HOUSTON"""	" ""TX"""	" ""77075"""		F	10/14/2013	(151) Warehouses +A85	507	1	7	1	11/19/2012	2:40 PM	3:20 PM	Routine Inspection (001)	SDW1	Sheila Washington	0	
200095	CRAPITTO'S CUCINA ITALIANA	2400	" ""MIDLANE"""	" ""HOUSTON"""	" ""TX"""	" ""77027"""		"F,G"	10/26/2013	(001) Restaurant - Full Service	403	3	27	1	4/30/2013	5:50 PM	6:20 PM	Routine Inspection (001)	RES1	Robert Stine	4	
200104	SUBWAY SANDWICHES	4930	" ""WASHINGTON"""	" ""HOUSTON"""	" ""TX"""	" ""77007"""		"F,G"	11/10/2013	(002) Restaurant - Single Service	301	2	6	2	1/29/2013	9:50 AM	10:50 AM	Routine Inspection (001)	JXM1	Javier Mora	2	
200105	RUGGLES CAFE & BAKERY	2365	" ""RICE"""	" ""HOUSTON"""	" ""TX"""	" ""77005"""		"F,G"	11/5/2013	(001) Restaurant - Full Service	101	3	46	2	1/6/2013	8:50 AM	11:30 AM	Routine Inspection (001)	JTD1	Jay Dunn	7	
200106	COURTESY FOOD STORE	2815	" ""BINGLE"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""		"F,D,G"	11/4/2013	(002) Restaurant - Single Service	302	3	5	1	4/2/2013	7:45 AM	8:40 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	2	
200113	VITAMIN WORLD #3628	532	" ""NORTHWEST MALL"""	" ""HOUSTON"""	" ""TX"""	" ""77092"""		F	11/19/2013	(100) Convenience Grocery - Packaged	303	1	9	1	2/20/2013	1:40 PM	2:10 PM	Routine Inspection (001)	DXM1	David Martinez	0	
200114	TEXAS LAND & CATTLE CO.	11900	" ""DICKINSON"""	" ""HOUSTON"""	" ""TX"""	" ""77089"""		"F,G"	11/18/2013	(001) Restaurant - Full Service	106	3	60	2	2/5/2013	10:40 AM	11:20 AM	Routine Inspection (001)	LWT1	LaTerica Thomas	2	
200115	CHICK-FIL-A	5001	" ""BEECHNUT"""	" ""HOUSTON"""	" ""TX"""	" ""77096"""		"F,D,G"	12/9/2013	(002) Restaurant - Single Service	104	2	48	2	4/17/2013	2:00 PM	2:30 PM	Routine Inspection (001)	SRL1	Sharhonda Lee	2	
200121	FOGO DE CHAO	8250	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77063"""		"F,G"	2/23/2014	(001) Restaurant - Full Service	207	3	70	1	12/15/2012	8:25 AM	9:45 PM	Routine Inspection (001)	MXR1	Marja Ramsey	2	
200123	LARRY'S BAR B Q	14191	" ""NORTHWEST"""	" ""HOUSTON"""	" ""TX"""	" ""77040"""		"F,D,G"	3/3/2014	(001) Restaurant - Full Service	307	3	20	5	3/12/2013	9:15 AM	10:00 AM	Routine Inspection (001)	PIC1	Paul Chen	2	
200127	CHILI'S GRILL & BAR	6121	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77057"""		"F,D,G"	4/24/2014	(001) Restaurant - Full Service	202	3	30	1	5/4/2013	2:40 PM	3:20 PM	Routine Inspection (001)	MXR1	Marja Ramsey	2	
